Rownumber,effectsize,uniquestudy,uniquesample,Year,Title,Newlink,NewPart,Complete.Task.Prior,Goal.Expectancy.Manipulated,Goal.Value.Manipulated,SocialDesirability,Funneled.Debriefing.Present,n,Proportion.of.Prime,ControlType.Binary,Source.Type.Binary,Country.Binary,Liminality.Binary,Dependent.Measure.Category.Binary,Filler.Task,PrimeContent,Preregistration,Covariates,Remove,ControlType,primed.concept,measured.behavior,moderator.level,M.Control,SD.Control,M.Prime,SD.prime,p.control,p.prime,reverse,d,c,mn,Gv
43,43,3251,32511,2019,Between Karma and Buddha: Prosocial Behavior among Mongolians in an Anonymous Economic Game,2,1,0,0,0,1,0,79,0.5,1,1,2,1,2,0,4,0,0,0,1,Karma,Money given to the next participants,na,3320.51,1968,3137.5,1706,NA,NA,1,-0.098400973,0.990228013,0.050632911,0.049711053
44,44,291,2911,2011,Beyond Mere Compliance to Authoritative Figures: Religious Priming Increases Conformity to Informational Influence Among Submissive People,2,1,0,0,0,0,0,20.5,1,1,1,2,0,2,0,4,0,0,0,1,religion,deviation from other's estimate (conformity),High Dispositional Submissiveness,0.37,0.21,0.24,0.15,NA,NA,-1,0.68311908,0.95890411,0.195121951,0.192026274
45,45,291,2912,2011,Beyond Mere Compliance to Authoritative Figures: Religious Priming Increases Conformity to Informational Influence Among Submissive People,2,1,0,0,0,0,0,20.5,1,1,1,2,0,2,0,4,0,0,0,1,religion,deviation from other's estimate (conformity),Low Dispositional Submissiveness,0.28,0.18,0.32,0.15,NA,NA,-1,-0.231506931,0.95890411,0.195121951,0.180862593
46,46,251,2511,2008,Blond like me: when self-construals moderate stereotype priming effects on intellectual performance,2,2,1,0,0,0,0,44,1,2,1,2,1,1,0,7,0,0,0,6,Blonde,# of correct answers ,Independent,1.5,0.73,1.9,1.29,NA,NA,1,0.374789433,0.982035928,0.090909091,0.089344461
47,47,252,2521,2008,Blond like me: when self-construals moderate stereotype priming effects on intellectual performance,2,2,1,0,0,0,0,36,1,2,1,2,1,1,0,7,0,0,0,3,Blonde,# of correct answers ,Independent,1.53,0.94,2.37,0.96,NA,NA,1,0.864513509,0.977777778,0.111111111,0.117218645
48,48,251,2512,2008,Blond like me: when self-construals moderate stereotype priming effects on intellectual performance,2,2,1,0,0,0,0,42,1,2,1,2,1,1,0,7,0,0,0,6,Blonde,# of correct answers ,Interdependent,1.93,1.11,1.14,0.86,NA,NA,-1,0.780637024,0.981132075,0.095238095,0.099295537
49,49,252,2522,2008,Blond like me: when self-construals moderate stereotype priming effects on intellectual performance,2,2,1,0,0,0,0,37,1,2,1,2,1,1,0,7,0,0,0,3,Blonde,# of correct answers ,Interdependent,2.17,0.73,1.52,0.9,NA,NA,-1,0.776123129,0.978417266,0.108108108,0.112097174
50,50,3461,34611,2016,Boosting Performance on an Evaluative Math Test: Goal Activation vs Self-Affirmation,2,1,0,0,0,1,0,52,1,1,1,1,1,1,0,5,0,0,0,1,Goal,# of correct answers ,na,3.77,1.42,5.17,1.44,NA,NA,1,0.964238292,0.984924623,0.076923077,0.083918825
51,51,3461,34611,2016,Boosting Performance on an Evaluative Math Test: Goal Activation vs Self-Affirmation,2,1,0,0,0,1,0,52,1,1,1,1,1,1,0,5,0,0,0,1,Self-affirmation,# of correct answers ,na,3.77,1.42,4.34,1.84,NA,NA,1,0.341598188,0.984924623,0.076923077,0.075788163
56,56,1043,10431,2007,Can't take my eyes off you: attentional adhesion to mates and rivals,2,1,0,0,0,0,0,160,1,2,1,1,1,2,0,6,0,0,0,6,Jealousy,time to shift attention away from opposite sex targets,Attractive opposite,551,134,551,149,NA,NA,1,0,0.995245642,0.025,0.024762847
